kfc1, 5pc Bucket, food.jpg, 6.19, Its Finger Licking’ Good
kfc1, 10pc Bucket, food.jpg, 8.99, Its Finger Licking’ Good
kfc1, Ultimate Savings Bucket, food.jpg, 6.99, Its Finger Licking’ Good
kfc1, Mingles Bucket Meal, food.jpg, 4.79, Its Finger Licking’ Good
kfc1, KFC Favourites, food.jpg, 4.19, Its Finger Licking’ Good
kfc1, Chick & Share, food.jpg, 4.48, Its Finger Licking’ Good
kfc1, Classic Chicken Biriyani Bucket, food.jpg, 4.75, Its Finger Licking’ Good
kfc1, Veg Biriyani Bucket, food.jpg, 1.88, Its Finger Licking’ Good
kfc1, Chicken & Fries Bucket, food.jpg, 2.99, Its Finger Licking’ Good
kfc1, Veg Patty, food.jpg, 1.55, Its Finger Licking’ Good
pzht, Italian Classic, food.jpg, 2.99, No-one outpizzas the hut
pzht, Fresco, food.jpg, 3.59, No-one outpizzas the hut
pzht, Romano, food.jpg, 3.59, No-one outpizzas the hut
pzht, Chicken Americana, food.jpg, 4.19, No-one outpizzas the hut
pzht, Qattro, food.jpg, 4.79, No-one outpizzas the hut
pzht, Spanish Tomato Pasta, food.jpg, 1.99, No-one outpizzas the hut
pzht, Creamy Mediterranean Pasta, food.jpg, 2.29, No-one outpizzas the hut
pzht, Arrabbiata Pasta, food.jpg, 2.29, No-one outpizzas the hut
pzht, Cheesy Pepper Pasta, food.jpg, 2.29, No-one outpizzas the hut
pzht, Creamy Mushroom Pasta, food.jpg, 2.89, No-one outpizzas the hut
mcds, Triple Cheese American Veg Burger, food.jpg, 2.15, The ice-cream machine is faulty
mcds, McSpicy Premium Veg Burger, food.jpg, 2.31, The ice-cream machine is faulty
mcds, Triple Cheese American Chicken Burger, food.jpg, 2.41, The ice-cream machine is faulty
mcds, McSpicy Premium Chicken Burger, food.jpg, 2.49, The ice-cream machine is faulty
mcds, Big Spicy Chicken Wrap, food.jpg, 2.15, The ice-cream machine is faulty
mcds, Filet-O-Fish Burger, food.jpg, 1.70, The ice-cream machine is faulty
mcds, Hashbrowns, food.jpg, 0.49, The ice-cream machine is faulty
mcds, Double Cheese McMuffin, food.jpg, 0.90, The ice-cream machine is faulty
mcds, Choco Chip Muffin, food.jpg, 1.35, The ice-cream machine is faulty
mcds, Birthday Party Package, food.jpg, 20.55, The ice-cream machine is faulty
domi, 2 Garlic Breads, food.jpg, 1.98, We will die for your pizza
domi, Margherita, food.jpg, 2.39, We will die for your pizza
domi, Farmhouse, food.jpg, 4.59, We will die for your pizza 
domi, Peppy Paneer, food.jpg, 4.59, We will die for your pizza
domi, Veg Extravaganza, food.jpg, 5.49, We will die for your pizza
domi, Moroccan Spice Pizza Pasta, food.jpg, 3.29, We will die for your pizza
domi, The Four Cheese Pizza, food.jpg, 6.39, We will die for your pizza
domi, Roasted Chicken Wings Peri Peri, food.jpg, 1.69, We will die for your pizza
domi, Choco Lava Cake, food.jpg, 1.09, We will die for your pizza
domi, Chicken Parcel, food.jpg, 0.55, We will die for your pizza
strb, Velvet , food.jpg, 99.99, Hi Sahus
strb, Vanilla Latte , food.jpg, 99.99, Hi Sahus
